export_url,redirect_status,destination,http_status,canonical,meta_robots,x_robots_tag,in_current_sitemap,clicks_from_home
https://teamtoner.co.nz/listings/404-tremaine-avenue-takaro,308,https://www.teamtoner.co.nz/listings/404-tremaine-avenue-takaro,200,https://www.teamtoner.co.nz/listings/404-tremaine-avenue-takaro,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/43-norfolk-crescent-feilding,308,https://www.teamtoner.co.nz/listings/43-norfolk-crescent-feilding,200,https://www.teamtoner.co.nz/listings/43-norfolk-crescent-feilding,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/44-haydon-street-roslyn,308,https://www.teamtoner.co.nz/listings/44-haydon-street-roslyn,200,https://www.teamtoner.co.nz/listings/44-haydon-street-roslyn,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/440-ruahine-street-terrace-end,308,https://www.teamtoner.co.nz/listings/440-ruahine-street-terrace-end,200,https://www.teamtoner.co.nz/listings/440-ruahine-street-terrace-end,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/47-geneva-terrace-kelvin-grove,308,https://www.teamtoner.co.nz/listings/47-geneva-terrace-kelvin-grove,200,https://www.teamtoner.co.nz/listings/47-geneva-terrace-kelvin-grove,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/47-totara-road-awapuni,308,https://www.teamtoner.co.nz/listings/47-totara-road-awapuni,200,https://www.teamtoner.co.nz/listings/47-totara-road-awapuni,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/5-rosebank-avenue-kelvin-grove,308,https://www.teamtoner.co.nz/listings/5-rosebank-avenue-kelvin-grove,200,https://www.teamtoner.co.nz/listings/5-rosebank-avenue-kelvin-grove,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/5-sheffield-street-awapuni,308,https://www.teamtoner.co.nz/listings/5-sheffield-street-awapuni,200,https://www.teamtoner.co.nz/listings/5-sheffield-street-awapuni,"index, follow | index, follow, max-image-preview:large",,True,2
https://teamtoner.co.nz/listings/51a-manawatu-street-hokowhitu,308,https://www.teamtoner.co.nz/listings/51a-manawatu-street-hokowhitu,200,https://www.teamtoner.co.nz/listings/51a-manawatu-street-hokowhitu,"index, follow | index, follow, max-image-preview:large",,True,1
https://teamtoner.co.nz/listings/52-bamfield-street-ashhurst,308,https://www.teamtoner.co.nz/listings/52-bamfield-street-ashhurst,200,https://www.teamtoner.co.nz/listings/52-bamfield-street-ashhurst,"index, follow | index, follow, max-image-preview:large",,True,2
